"","country","region","region_code","start_date","end_date","days","year","time","population","total_deaths","covid_deaths","expected_deaths","ols_ex","ols_ex_lb","ols_ex_ub","glm_log_ex","glm_log_ex_lb","glm_log_ex_ub","glm_iden_ex","glm_iden_ex_lb","glm_iden_ex_ub","glm_sqrt_ex","glm_sqrt_ex_lb","ridge_ex","rglm_log_ex","rglm_iden_ex","rglm_sqrt_ex","lasso_ex","lglm_log_ex","lglm_iden_ex","lglm_sqrt_ex","ols_ed","ols_ed_lb","ols_ed_ub","glm_log_ed","glm_log_ed_lb","glm_log_ed_ub","glm_iden_ed","glm_iden_ed_lb","glm_iden_ed_ub","glm_sqrt_ed","glm_sqrt_ed_lb","ridge_ed","rglm_log_ed","rglm_iden_ed","rglm_sqrt_ed","lasso_ed","lglm_log_ed","lglm_iden_ed","lglm_sqrt_ed"
"44","South Africa","South Africa",0,"2020-12-21","2020-12-27",7,2020,"52",60041996,17524,2044,"TBC",10225.4677966101,9892.58753724287,10558.3480559774,10223.7147054493,10132.5160690859,10315.7341834692,10226.7897293693,10134.517851717,10319.0616070215,10225.0830344279,10317.2409498172,9114.49747908194,9124.68253686786,9126.15318043877,9107.37825213642,9072.21484479766,9087.49432004532,9076.57187348416,9077.85150418754,7298.53220338986,7631.41246275713,6965.6519440226,7300.28529455065,7391.48393091406,7208.26581653076,7297.21027063075,7389.48214828302,7204.93839297847,7298.91696557214,7206.75905018284,8409.50252091806,8399.31746313214,8397.84681956123,8416.62174786358,8451.78515520234,8436.50567995468,8447.42812651584,8446.14849581246
"45","South Africa","South Africa",0,"2020-12-28","2021-01-03",7,2020,"53",60041996,20234,2842,"TBC",10225.4677966101,9892.58753724287,10558.3480559774,10223.7147054493,10132.5160690859,10315.7341834692,10226.7897293693,10134.517851717,10319.0616070215,10225.0830344279,10317.2409498172,9479.0312831316,9484.76263070263,9487.83465130481,9474.8647289743,9468.15200225846,9482.38550369192,9473.82792500791,9473.33142723784,10008.5322033899,10341.4124627571,9675.6519440226,10010.2852945507,10101.4839309141,9918.26581653076,10007.2102706307,10099.482148283,9914.93839297847,10008.9169655721,9916.75905018284,10754.9687168684,10749.2373692974,10746.1653486952,10759.1352710257,10765.8479977415,10751.6144963081,10760.1720749921,10760.6685727622
"46","South Africa","South Africa",0,"2021-01-04","2021-01-10",7,2021,"1",60041996,23510,3586,"TBC",10227.0124293787,9916.3912823388,10537.6335764187,10224.8410284006,10139.7179939094,10310.678671622,10227.0861995154,10140.9840343413,10313.1883646895,10225.7598297895,10311.7452496256,10214.3069419502,10209.9943158396,10209.742475113,10213.1841623884,10207.9660250206,10200.4847869988,10202.2715266429,10204.014181114,13282.9875706213,13593.6087176612,12972.3664235813,13285.1589715994,13370.2820060906,13199.321328378,13282.9138004846,13369.0159656587,13196.8116353105,13284.2401702105,13198.2547503744,13295.6930580498,13300.0056841604,13300.257524887,13296.8158376116,13302.0339749794,13309.5152130012,13307.7284733571,13305.985818886
"47","South Africa","South Africa",0,"2021-01-11","2021-01-17",7,2021,"2",60041996,24953,3942,"TBC",9330.3457627118,9019.72461567179,9640.96690975182,9337.78899606535,9256.85810262354,9419.42745242328,9331.79443662884,9249.09051164538,9414.4983616123,9334.63567030943,9416.79712356896,9392.79347948724,9400.25464566382,9402.26472700519,9388.65752601497,9378.58719746648,9395.34143388878,9385.03446592512,9385.23463673275,15622.6542372882,15933.2753843282,15312.0330902482,15615.2110039347,15696.1418973765,15533.5725475767,15621.2055633712,15703.9094883546,15538.5016383877,15618.3643296906,15536.202876431,15560.2065205128,15552.7453543362,15550.7352729948,15564.342473985,15574.4128025335,15557.6585661112,15567.9655340749,15567.7653632673
"48","South Africa","South Africa",0,"2021-01-18","2021-01-24",7,2021,"3",60041996,21804,3769,"TBC",9077.51242937847,8766.89128233846,9388.13357641848,9087.66670367858,9007.94350140091,9168.09548198262,9079.11300002647,8997.39377602684,9160.83222402609,9083.28364508945,9164.33381669963,9189.92525878074,9201.17938336156,9200.29594375671,9184.41686685644,9159.97475029205,9179.20406668255,9165.08384184442,9167.28838407553,12726.4875706215,13037.1087176615,12415.8664235815,12716.3332963214,12796.0564985991,12635.9045180174,12724.8869999735,12806.6062239732,12643.1677759739,12720.7163549106,12639.6661833004,12614.0747412193,12602.8206166384,12603.7040562433,12619.5831331436,12644.0252497079,12624.7959333174,12638.9161581556,12636.7116159245
"49","South Africa","South Africa",0,"2021-01-25","2021-01-31",7,2021,"4",60041996,15818,3290,"TBC",8850.67909604514,8540.05794900513,9161.30024308515,8863.26562263816,8784.63630701361,8942.59873168789,8849.93882745714,8769.12259811268,8930.75505680161,8856.62755719857,8936.66237398669,9086.90239375162,9100.22303096835,9098.22244905011,9081.0318499686,9048.96226772267,9069.4534841214,9054.17934298053,9056.99924130367,6967.32090395486,7277.94205099487,6656.69975691485,6954.73437736184,7033.36369298639,6875.40126831211,6968.06117254286,7048.87740188732,6887.24494319839,6961.37244280143,6881.33762601331,6731.09760624838,6717.77696903165,6719.77755094989,6736.9681500314,6769.03773227733,6748.5465158786,6763.82065701947,6761.00075869633
"50","South Africa","South Africa",0,"2021-02-01","2021-02-07",7,2021,"5",60041996,13832,2126,"TBC",9254.84576271181,8944.2246156718,9565.46690975182,9263.09855542532,9182.52705488413,9344.37702548162,9254.35571417796,9171.95191416869,9336.75951418724,9258.62069277113,9340.44766285644,9446.73119215022,9453.31454218,9455.15443488665,9442.63641932644,9436.74975800403,9452.87789762871,9442.81953932072,9442.87561880447,4577.15423728819,4887.7753843282,4266.53309024818,4568.90144457468,4649.47294511587,4487.62297451838,4577.64428582204,4660.04808583131,4495.24048581276,4573.37930722887,4491.55233714356,4385.26880784978,4378.68545782,4376.84556511335,4389.36358067356,4395.25024199597,4379.12210237129,4389.18046067928,4389.12438119553
"51","South Africa","South Africa",0,"2021-02-08","2021-02-14",7,2021,"6",60041996,12182,1609,"TBC",9462.01242937848,9151.39128233847,9772.63357641849,9468.04384839648,9386.48870062095,9550.30759364021,9462.92999481039,9379.71955155968,9546.1404380611,9465.31664202752,9548.04995372046,9697.80662906093,9700.30320535808,9703.55826320015,9695.06449415151,9707.33722996423,9720.42372822067,9714.72498735372,9712.50224148543,2719.98757062152,3030.60871766153,2409.36642358151,2713.95615160352,2795.51129937905,2631.69240635979,2719.07000518961,2802.28044844032,2635.8595619389,2716.68335797248,2633.95004627954,2484.19337093907,2481.69679464192,2478.44173679985,2486.93550584849,2474.66277003577,2461.57627177933,2467.27501264628,2469.49775851457
"52","South Africa","South Africa",0,"2021-02-15","2021-02-21",7,2021,"7",60041996,11440,1154,"TBC",9044.84576271181,8734.2246156718,9355.46690975182,9055.35030993578,8975.7840226386,9135.62191657424,9045.28466019284,8963.69792928294,9126.87139110274,9050.24678108074,9131.14975203713,9477.67915453191,9483.77539759336,9485.77737690738,9473.75476434126,9470.12469303716,9485.89621835049,9476.28215314243,9476.0995325413,2395.15423728819,2705.7753843282,2084.53309024818,2384.64969006422,2464.2159773614,2304.37808342576,2394.71533980716,2476.30207071706,2313.12860889726,2389.75321891926,2308.85024796287,1962.32084546809,1956.22460240664,1954.22262309262,1966.24523565874,1969.87530696284,1954.10378164951,1963.71784685757,1963.9004674587
"53","South Africa","South Africa",0,"2021-02-22","2021-02-28",7,2021,"8",60041996,10717,940,"TBC",9010.17909604514,8699.55794900513,9320.80024308516,9021.05536147405,8941.65582273077,9101.15994712112,9010.69907201462,8929.24828357908,9092.14986045016,9015.81416489462,9096.56342999671,9437.38462125104,9444.19894580105,9446.38305366628,9433.5197437665,9426.7121572865,9442.98321944692,9433.21429803457,9433.11894670018,1706.82090395486,2017.44205099487,1396.19975691484,1695.94463852595,1775.34417726923,1615.84005287888,1706.30092798538,1787.75171642092,1624.85013954984,1701.18583510538,1620.43657000329,1279.61537874896,1272.80105419895,1270.61694633372,1283.4802562335,1290.2878427135,1274.01678055308,1283.78570196543,1283.88105329982
